樹之亭、巨石群！春光爛漫「翠山步道至大崙頭山」 乘風堡景觀台展望絕佳,2022-04-12 21:01:06,"2022/03/09 週三（2-1 翠山步道→大崙頭山）《春日暢遊翠山步道→小溪頭環狀步道→大崙頭尾山→論劍山→剪刀石山→金面山》【小百岳集起來】#008 內湖大崙頭山 H476m,臺北市加密控制點...",https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2022/03/17/0/16558302.jpg&s=Y&x=0&y=0&sw=1280&sh=710&exp=3600&w=600
訓練心得／陽明山人車分道大體驗,2022-04-06 09:36:39,Date：2022/4/5Total distance：4.3 kmTime spent moving：59 min趁著清明連假最後一天，隻身在台北的自由時光，決定來挑戰陽明山上人車分道的健行路線。...,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2022/04/06/0/16537194.jpg&s=Y&x=0&y=0&sw=803&sh=535&exp=3600&w=600
公車可抵達！台北北投「紗帽山」高CP值步道平易近人　山林有歷史底蘊,2022-04-04 15:30:06,紗帽山交通、停車場、廁所區域、難度、行程規劃懶人包！因外形看似古代官員的烏紗帽而得其名。紗帽山步道全長僅2.2公里，是CP值很高的一條步道，步道皆為石階路線，短短的路程中，蘊藏了豐富的歷史遺跡！沿途...,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2022/03/08/0/16520716.jpg&s=Y&x=0&y=0&sw=1280&sh=853&exp=3600&w=600
A Quest for Spring Flowers: Purple Blossoms Throughout Taipei,2022-03-31 09:49:04,【Author Catherine Shih】【Photographer Geotechnical Engineering Office and Hydraulic Engineering Offi...,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2022/03/31/draft/16504414.jpg&s=Y&x=0&y=0&sw=720&sh=480&exp=3600&w=600
春の花を求めて 台北に咲く紫色の花,2022-03-31 09:49:04,【文: Catherine Shih】【編集:下山敬之】【写真: 北投区農会、台北市政府工務局水利工程処、台北市政府工務局大地工程処】かつてアメリカのジョンソン大統領夫人であるレディ‧バード‧ジョン...,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2022/03/31/draft/16504404.jpg&s=Y&x=0&y=0&sw=720&sh=480&exp=3600&w=600
台北／拍照打卡散心好去處 陽明山小油坑、竹子湖,2022-03-18 08:30:00,前山公園繞個小半圈，天氣就變了。臨時決定走陽金公路，到久未謀面的竹子湖、小油坑晃晃。細雨挾帶強風，著實有點兒冷，兩個地方都是拍照打卡便走。說起來，上回造訪都是近廿年前往事，竹子湖變化不小，臨時起意沒...,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2022/03/16/106/16336363.jpg&w=600
第一屆台北山水鐵人挑戰賽 200人參賽抽出破萬大獎,2022-03-13 16:48:08,第一屆「2022 台北山水鐵人挑戰賽」今日於大佳河濱公園開賽，體育局表示，賽事結合台北親山近水的地理特色，突破了傳統三鐵的競賽模式，融合現今最風行的獨木舟、河濱鐵馬路線及山徑路跑，本次賽事分為個人、...,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2022/03/13/realtime/16265051.jpg&s=Y&x=0&y=0&sw=1279&sh=853&exp=3600&w=600
芬多精吸到飽　輕鬆征服北市第一高峰「七星山小百岳」,2022-03-12 20:55:06,時隔兩週，陽光先生終於願意露臉了，趕緊把年前連續三年都中籤的「111年春節登七星山，一起迎新春！」走完(有期間限定 2/1 至 2/15)。好幸運，今天沒什麼人...。登七星山小百岳，比較熱門的登山...,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2022/02/16/0/16242691.jpg&s=Y&x=0&y=0&sw=1280&sh=853&exp=3600&w=600
原來山離我們這麼近  「臺北大縱走7＋1」一起來走山、拿登山扣環,2022-03-11 09:30:05,【旅奇傳媒/編輯部報導】臺北已設市百年，櫛比鱗次的高樓大廈、繁華的信義商圈、Taipei 101，是國內外遊客對於臺北的第一印象，無論歷史、人文、美食都有無比的吸引力，但您可能不知道，臺北位於盆地...,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2022/03/09/0/16242318.jpg&s=Y&x=0&y=0&sw=1280&sh=710&exp=3600&w=600
山頂展望台景色遼闊　台北內湖「大崙頭尾山親山步道」易駕馭,2022-03-03 20:55:03,大崙頭山位在台北市士林區與內湖區交界， 海拔476公尺，山頂展望佳， 腹地大山頂處有座 乘風堡觀景平台 是內湖地區最高的山脈 ， 為編號8台灣小百岳之一，從碧山路46-7登山口， 到山頂距離不遠， ...,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2022/01/29/0/16132406.jpg&s=Y&x=0&y=0&sw=1280&sh=853&exp=3600&w=600
